lat,lon,ttMoho,ttMohostd,dvMoho,dvMohostd,typeMoho,ttLAB,ttLABstd,ampLAB,ampLABstd,typeLAB
34,-118,8.63336,0.311852,0.144392,0.0558419,Ps,12.0498,0.189384,0.0411617,0.00288211,Sp
34.25,-118,9.05338,0.379803,0.145164,0.0511419,Ps,11.7799,0.218136,0.0392981,0.0028902,Sp
34.5,-118,9.02653,0.447746,0.140435,0.0618118,Ps,11.4886,0.186515,0.0356158,0.00144196,Sp
34.75,-118,8.68838,0.382841,0.104906,0.062825,Ps,11.3556,0.222015,0.0339057,0.00180905,Sp
35,-118,8.65896,0.639885,0.0991983,0.0611675,Ps,11.0817,0.224211,0.0317444,0.00238916,Sp
35.25,-118,8.93799,0.567799,0.157742,0.0630541,Ps,11.226,0.224894,0.0287841,0.00349062,Sp
35.5,-118,9.10084,0.437447,0.220836,0.0803599,Ps,11.4207,0.61063,0.0249857,0.00229096,Sp
35.75,-118,9.40057,0.448769,0.169432,0.0645588,Ps,11.96,0.672871,0.0250214,0.00186037,Sp
36,-118,9.40213,0.454092,0.149026,0.0711096,Ps,12.2264,0.255798,0.0285775,0.00298806,Sp
36.25,-118,9.50663,0.395143,0.136326,0.0741862,Ps,11.7664,0.606244,0.0284472,0.00364566,Sp
36.5,-118,9.38632,0.328299,0.126391,0.0633893,Ps,10.9373,0.923384,0.025679,0.00271698,Sp
36.75,-118,10.3235,0.458589,0.151565,0.0684249,Ps,9.91719,0.728489,0.0310563,0.00389237,Sp
37,-118,10.6821,0.449979,0.18563,0.0683083,Ps,9.72096,0.505894,0.0320188,0.00263616,Sp
37.25,-118,10.7159,0.314072,0.160208,0.0648318,Ps,10.4364,0.78829,0.0255665,0.00329193,Sp
37.5,-118,11.0359,0.385337,0.127952,0.0559403,Ps,11.2502,0.848633,0.0231779,0.00125975,Sp
37.75,-118,10.8897,0.321335,0.12447,0.0517307,Ps,12.3242,0.438526,0.021863,0.00251485,Sp
38,-118,10.5892,0.310666,0.123208,0.0465499,Ps,11.6751,0.844599,0.0244645,0.00336193,Sp
38.25,-118,10.7898,0.312486,0.131078,0.0428834,Ps,10.7307,0.843727,0.0256969,0.00375104,Sp
38.5,-118,10.7823,0.376686,0.125796,0.0428336,Ps,12.132,0.781165,0.0255085,0.00378736,Sp
38.75,-118,10.473,0.438233,0.101782,0.0420239,Ps,13.0833,0.408251,0.0297252,0.00517487,Sp
39,-118,10.4857,0.563317,0.0981757,0.0415676,Ps,13.2596,1.039,0.0282517,0.00458121,Sp
39.25,-118,10.4018,0.570181,0.0851287,0.0400565,Ps,10.5697,1.14082,0.0405189,0.0148043,Sp
39.5,-118,9.8453,0.631844,0.076399,0.0420114,Ps,10.678,0.095305,0.0497014,0.00947246,Sp
